feature,rank,selected
log_return_30s,1,True
order_book_imbalance_300s,1,True
spread_mean_300s,1,True
price_velocity_300s,1,True
realized_volatility_300s,1,True
log_return_300s,1,True
volume_velocity_60s,1,True
trade_intensity_60s,1,True
order_book_imbalance_60s,1,True
trade_intensity_300s,1,True
spread_mean_60s,1,True
realized_volatility_60s,1,True
log_return_60s,1,True
volume_velocity_30s,1,True
trade_intensity_30s,1,True
order_book_imbalance_30s,1,True
spread_mean_30s,1,True
price_velocity_30s,1,True
realized_volatility_30s,1,True
price_velocity_60s,1,True
volume_velocity_300s,1,True
